name,alias,tlb,category,opcode,fift_asm,stack,gas,desc,tvm_asm
SWAP2,,#5A,stack_complex,5A,"SWAP2
2SWAP",a b c d - c d a b,18,Equivalent to `2 2 BLKSWAP` or to `s3 s2 XCHG2`.,0x5A
DROP2,,#5B,stack_complex,5B,"DROP2
2DROP",a b -,18,Equivalent to `DROP` `DROP`.,0x5B
DUP2,,#5C,stack_complex,5C,"DUP2
2DUP",a b - a b a b,18,Equivalent to `s1 s0 PUSH2`.,0x5C
OVER2,,#5D,stack_complex,5D,"OVER2
2OVER",a b c d - a b c d a b,18,Equivalent to `s3 s2 PUSH2`.,0x5D
REVERSE,,#5E i:uint4 j:uint4,stack_complex,5Eij,[i+2] [j] REVERSE,,26,Reverses the order of `s[j+i+1] … s[j]`.,"c1 = parse_const_u4_plus_two;
c2 = parse_const_u4
        => 0x5E, (c1 << 4) | c2"
BLKDROP,,#5F0 i:uint4,stack_complex,5F0i,[i] BLKDROP,,26,Equivalent to `DROP` performed `i` times.,"c = parse_const_u4
      => 0x5F, c"
BLKPUSH,,#5F i:(## 4) j:uint4 {1 <= i},stack_complex,5Fij,[i] [j] BLKPUSH,,26,"Equivalent to `PUSH s(j)` performed `i` times.
`1 <= i <= 15`, `0 <= j <= 15`.","c1 = parse_const_u4_nonzero;
c2 = parse_const_u4
        => 0x5F, (c1 << 4) | c2"
PICK,,#60,stack_complex,60,"PICK
PUSHX",,18,"Pops integer `i` from the stack, then performs `s[i] PUSH`.",0x60
ROLLX,,#61,stack_complex,61,ROLLX,,18,"Pops integer `i` from the stack, then performs `1 [i] BLKSWAP`.",0x61
-ROLLX,,#62,stack_complex,62,"-ROLLX
ROLLREVX",,18,"Pops integer `i` from the stack, then performs `[i] 1 BLKSWAP`.",0x62
BLKSWX,,#63,stack_complex,63,BLKSWX,,18,"Pops integers `i`,`j` from the stack, then performs `[i] [j] BLKSWAP`.",0x63
REVX,,#64,stack_complex,64,REVX,,18,"Pops integers `i`,`j` from the stack, then performs `[i] [j] REVERSE`.",0x64
DROPX,,#65,stack_complex,65,DROPX,,18,"Pops integer `i` from the stack, then performs `[i] BLKDROP`.",0x65
TUCK,,#66,stack_complex,66,TUCK,a b - b a b,18,Equivalent to `SWAP` `OVER` or to `s1 s1 XCPU`.,0x66
XCHGX,,#67,stack_complex,67,XCHGX,,18,"Pops integer `i` from the stack, then performs `s[i] XCHG`.",0x67
DEPTH,,#68,stack_complex,68,DEPTH,- depth,18,Pushes the current depth of the stack.,0x68
CHKDEPTH,,#69,stack_complex,69,CHKDEPTH,i -,18/58,"Pops integer `i` from the stack, then checks whether there are at least `i` elements, generating a stack underflow exception otherwise.",0x69
ONLYTOPX,,#6A,stack_complex,6A,ONLYTOPX,,18,"Pops integer `i` from the stack, then removes all but the top `i` elements.",0x6A
ONLYX,,#6B,stack_complex,6B,ONLYX,,18,"Pops integer `i` from the stack, then leaves only the bottom `i` elements. Approximately equivalent to `DEPTH` `SWAP` `SUB` `DROPX`.",0x6B
BLKDROP2,,#6C i:(## 4) j:uint4 {1 <= i},stack_complex,6Cij,[i] [j] BLKDROP2,,26,"Drops `i` stack elements under the top `j` elements.
`1 <= i <= 15`, `0 <= j <= 15`
Equivalent to `[i+j] 0 REVERSE` `[i] BLKDROP` `[j] 0 REVERSE`.","c1 = parse_const_u4_nonzero;
c2 = parse_const_u4
        => 0x6C, (c1 << 4) | c2"
NULL,,#6D,tuple,6D,"NULL
PUSHNULL",- null,18,Pushes the only value of type _Null_.,0x6D
ISNULL,,#6E,tuple,6E,ISNULL,x - ?,18,"Checks whether `x` is a _Null_, and returns `-1` or `0` accordingly.",0x6E
TUPLE,,#6F0 n:uint4,tuple,6F0n,[n] TUPLE,x_1 ... x_n - t,26+n,"Creates a new _Tuple_ `t=(x_1, … ,x_n)` containing `n` values `x_1`,..., `x_n`.
`0 <= n <= 15`","s = parse_const_u4
      => 0x6F, s"
NIL,TUPLE,#6F00,tuple,6F00,NIL,- t,26,Pushes the only _Tuple_ `t=()` of length zero.,"0x6F, 0x00"
SINGLE,TUPLE,#6F01,tuple,6F01,SINGLE,x - t,27,"Creates a singleton `t:=(x)`, i.e., a _Tuple_ of length one.","0x6F, 0x01"
PAIR,TUPLE,#6F02,tuple,6F02,"PAIR
CONS",x y - t,28,"Creates pair `t:=(x,y)`.","0x6F, 0x02"
TRIPLE,TUPLE,#6F03,tuple,6F03,TRIPLE,x y z - t,29,"Creates triple `t:=(x,y,z)`.","0x6F, 0x03"
INDEX,,#6F1 k:uint4,tuple,6F1k,[k] INDEX,t - x,26,"Returns the `k`-th element of a _Tuple_ `t`.
`0 <= k <= 15`.","c = parse_const_u4
      => 0x6F, 0x10 | c"
FIRST,INDEX,#6F10,tuple,6F10,"FIRST
CAR",t - x,26,Returns the first element of a _Tuple_.,"0x6F, 0x10"
SECOND,INDEX,#6F11,tuple,6F11,"SECOND
CDR",t - y,26,Returns the second element of a _Tuple_.,"0x6F, 0x11"
THIRD,INDEX,#6F12,tuple,6F12,THIRD,t - z,26,Returns the third element of a _Tuple_.,"0x6F, 0x12"
UNTUPLE,,#6F2 n:uint4,tuple,6F2n,[n] UNTUPLE,t - x_1 ... x_n,26+n,"Unpacks a _Tuple_ `t=(x_1,...,x_n)` of length equal to `0 <= n <= 15`.
If `t` is not a _Tuple_, or if `|t| != n`, a type check exception is thrown.","c = parse_const_u4
      => 0x6F, 0x20 | c"
UNSINGLE,UNTUPLE,#6F21,tuple,6F21,UNSINGLE,t - x,27,Unpacks a singleton `t=(x)`.,"0x6F, 0x21"
UNPAIR,UNTUPLE,#6F22,tuple,6F22,"UNPAIR
UNCONS",t - x y,28,"Unpacks a pair `t=(x,y)`.","0x6F, 0x22"
UNTRIPLE,UNTUPLE,#6F23,tuple,6F23,UNTRIPLE,t - x y z,29,"Unpacks a triple `t=(x,y,z)`.","0x6F, 0x23"
UNPACKFIRST,,#6F3 k:uint4,tuple,6F3k,[k] UNPACKFIRST,t - x_1 ... x_k,26+k,"Unpacks first `0 <= k <= 15` elements of a _Tuple_ `t`.
If `|t|<k`, throws a type check exception.","c = parse_const_u4
      => 0x6F, 0x30 | c"
CHKTUPLE,UNPACKFIRST,#6F30,tuple,6F30,CHKTUPLE,t -,26,"Checks whether `t` is a _Tuple_. If not, throws a type check exception.","0x6F, 0x30"
EXPLODE,,#6F4 n:uint4,tuple,6F4n,[n] EXPLODE,t - x_1 ... x_m m,26+m,"Unpacks a _Tuple_ `t=(x_1,...,x_m)` and returns its length `m`, but only if `m <= n <= 15`. Otherwise throws a type check exception.","c = parse_const_u4
      => 0x6F, 0x40 | c"
SETINDEX,,#6F5 k:uint4,tuple,6F5k,[k] SETINDEX,t x - t',26+|t|,"Computes _Tuple_ `t'` that differs from `t` only at position `t'_{k+1}`, which is set to `x`.
`0 <= k <= 15`
If `k >= |t|`, throws a range check exception.","c = parse_const_u4
      => 0x6F, 0x50 | c"
SETFIRST,SETINDEX,#6F50,tuple,6F50,SETFIRST,t x - t',26+|t|,Sets the first component of _Tuple_ `t` to `x` and returns the resulting _Tuple_ `t'`.,"0x6F, 0x50"
SETSECOND,SETINDEX,#6F51,tuple,6F51,SETSECOND,t x - t',26+|t|,Sets the second component of _Tuple_ `t` to `x` and returns the resulting _Tuple_ `t'`.,"0x6F, 0x51"
SETTHIRD,SETINDEX,#6F52,tuple,6F52,SETTHIRD,t x - t',26+|t|,Sets the third component of _Tuple_ `t` to `x` and returns the resulting _Tuple_ `t'`.,"0x6F, 0x52"
INDEXQ,,#6F6 k:uint4,tuple,6F6k,[k] INDEXQ,t - x,26,"Returns the `k`-th element of a _Tuple_ `t`, where `0 <= k <= 15`. In other words, returns `x_{k+1}` if `t=(x_1,...,x_n)`. If `k>=n`, or if `t` is _Null_, returns a _Null_ instead of `x`.","c = parse_const_u4
      => 0x6F, 0x60 | c"
FIRSTQ,INDEXQ,#6F60,tuple,6F60,"FIRSTQ
CARQ",t - x,26,Returns the first element of a _Tuple_.,"0x6F, 0x60"
SECONDQ,INDEXQ,#6F61,tuple,6F61,"SECONDQ
CDRQ",t - y,26,Returns the second element of a _Tuple_.,"0x6F, 0x61"
THIRDQ,INDEXQ,#6F62,tuple,6F62,THIRDQ,t - z,26,Returns the third element of a _Tuple_.,"0x6F, 0x62"
SETINDEXQ,,#6F7 k:uint4,tuple,6F7k,[k] SETINDEXQ,t x - t',26+|t’|,"Sets the `k`-th component of _Tuple_ `t` to `x`, where `0 <= k < 16`, and returns the resulting _Tuple_ `t'`.
If `|t| <= k`, first extends the original _Tuple_ to length `n’=k+1` by setting all new components to _Null_. If the original value of `t` is _Null_, treats it as an empty _Tuple_. If `t` is not _Null_ or _Tuple_, throws an exception. If `x` is _Null_ and either `|t| <= k` or `t` is _Null_, then always returns `t'=t` (and does not consume tuple creation gas).","c = parse_const_u4
      => 0x6F, 0x70 | c"
SETFIRSTQ,SETINDEXQ,#6F70,tuple,6F70,SETFIRSTQ,t x - t',26+|t’|,Sets the first component of _Tuple_ `t` to `x` and returns the resulting _Tuple_ `t'`.,"0x6F , 0x70"
SETSECONDQ,SETINDEXQ,#6F71,tuple,6F71,SETSECONDQ,t x - t',26+|t’|,Sets the second component of _Tuple_ `t` to `x` and returns the resulting _Tuple_ `t'`.,"0x6F , 0x71"
SETTHIRDQ,SETINDEXQ,#6F72,tuple,6F72,SETTHIRDQ,t x - t',26+|t’|,Sets the third component of _Tuple_ `t` to `x` and returns the resulting _Tuple_ `t'`.,"0x6F , 0x72"
TUPLEVAR,,#6F80,tuple,6F80,TUPLEVAR,x_1 ... x_n n - t,26+n,"Creates a new _Tuple_ `t` of length `n` similarly to `TUPLE`, but with `0 <= n <= 255` taken from the stack.","0x6F , 0x80"
INDEXVAR,,#6F81,tuple,6F81,INDEXVAR,t k - x,26,"Similar to `k INDEX`, but with `0 <= k <= 254` taken from the stack.","0x6F , 0x81"
UNTUPLEVAR,,#6F82,tuple,6F82,UNTUPLEVAR,t n - x_1 ... x_n,26+n,"Similar to `n UNTUPLE`, but with `0 <= n <= 255` taken from the stack.","0x6F , 0x82"
UNPACKFIRSTVAR,,#6F83,tuple,6F83,UNPACKFIRSTVAR,t n - x_1 ... x_n,26+n,"Similar to `n UNPACKFIRST`, but with `0 <= n <= 255` taken from the stack.","0x6F , 0x83"
EXPLODEVAR,,#6F84,tuple,6F84,EXPLODEVAR,t n - x_1 ... x_m m,26+m,"Similar to `n EXPLODE`, but with `0 <= n <= 255` taken from the stack.","0x6F , 0x84"
SETINDEXVAR,,#6F85,tuple,6F85,SETINDEXVAR,t x k - t',26+|t’|,"Similar to `k SETINDEX`, but with `0 <= k <= 254` taken from the stack.","0x6F , 0x85"
INDEXVARQ,,#6F86,tuple,6F86,INDEXVARQ,t k - x,26,"Similar to `n INDEXQ`, but with `0 <= k <= 254` taken from the stack.","0x6F , 0x86"
SETINDEXVARQ,,#6F87,tuple,6F87,SETINDEXVARQ,t x k - t',26+|t’|,"Similar to `k SETINDEXQ`, but with `0 <= k <= 254` taken from the stack.","0x6F , 0x87"
TLEN,,#6F88,tuple,6F88,TLEN,t - n,26,Returns the length of a _Tuple_.,"0x6F , 0x88"
QTLEN,,#6F89,tuple,6F89,QTLEN,t - n or -1,26,"Similar to `TLEN`, but returns `-1` if `t` is not a _Tuple_.","0x6F , 0x89"
ISTUPLE,,#6F8A,tuple,6F8A,ISTUPLE,t - ?,26,Returns `-1` or `0` depending on whether `t` is a _Tuple_.,"0x6F , 0x8A"
LAST,,#6F8B,tuple,6F8B,LAST,t - x,26,Returns the last element of a non-empty _Tuple_ `t`.,"0x6F , 0x8B"
TPUSH,,#6F8C,tuple,6F8C,"TPUSH
COMMA",t x - t',26+|t’|,"Appends a value `x` to a _Tuple_ `t=(x_1,...,x_n)`, but only if the resulting _Tuple_ `t'=(x_1,...,x_n,x)` is of length at most 255. Otherwise throws a type check exception.","0x6F , 0x8C"
TPOP,,#6F8D,tuple,6F8D,TPOP,t - t' x,26+|t’|,"Detaches the last element `x=x_n` from a non-empty _Tuple_ `t=(x_1,...,x_n)`, and returns both the resulting _Tuple_ `t'=(x_1,...,x_{n-1})` and the original last element `x`.","0x6F , 0x8D"
NULLSWAPIF,,#6FA0,tuple,6FA0,NULLSWAPIF,x - x or null x,26,"Pushes a _Null_ under the topmost _Integer_ `x`, but only if `x!=0`.","0x6F , 0xA0"
NULLSWAPIFNOT,,#6FA1,tuple,6FA1,NULLSWAPIFNOT,x - x or null x,26,"Pushes a _Null_ under the topmost _Integer_ `x`, but only if `x=0`. May be used for stack alignment after quiet primitives such as `PLDUXQ`.","0x6F , 0xA1"
NULLROTRIF,,#6FA2,tuple,6FA2,NULLROTRIF,x y - x y or null x y,26,"Pushes a _Null_ under the second stack entry from the top, but only if the topmost _Integer_ `y` is non-zero.","0x6F , 0xA2"
NULLROTRIFNOT,,#6FA3,tuple,6FA3,NULLROTRIFNOT,x y - x y or null x y,26,"Pushes a _Null_ under the second stack entry from the top, but only if the topmost _Integer_ `y` is zero. May be used for stack alignment after quiet primitives such as `LDUXQ`.","0x6F , 0xA3"
NULLSWAPIF2,,#6FA4,tuple,6FA4,NULLSWAPIF2,x - x or null null x,26,"Pushes two nulls under the topmost _Integer_ `x`, but only if `x!=0`.
Equivalent to `NULLSWAPIF` `NULLSWAPIF`.","0x6F , 0xA4"
NULLSWAPIFNOT2,,#6FA5,tuple,6FA5,NULLSWAPIFNOT2,x - x or null null x,26,"Pushes two nulls under the topmost _Integer_ `x`, but only if `x=0`.
Equivalent to `NULLSWAPIFNOT` `NULLSWAPIFNOT`.","0x6F , 0xA5"
NULLROTRIF2,,#6FA6,tuple,6FA6,NULLROTRIF2,x y - x y or null null x y,26,"Pushes two nulls under the second stack entry from the top, but only if the topmost _Integer_ `y` is non-zero.
Equivalent to `NULLROTRIF` `NULLROTRIF`.","0x6F , 0xA6"
NULLROTRIFNOT2,,#6FA7,tuple,6FA7,NULLROTRIFNOT2,x y - x y or null null x y,26,"Pushes two nulls under the second stack entry from the top, but only if the topmost _Integer_ `y` is zero.
Equivalent to `NULLROTRIFNOT` `NULLROTRIFNOT`.","0x6F , 0xA7"
INDEX2,,#6FB i:uint2 j:uint2,tuple,6FBij,[i] [j] INDEX2,t - x,26,"Recovers `x=(t_{i+1})_{j+1}` for `0 <= i,j <= 3`.
Equivalent to `[i] INDEX` `[j] INDEX`.","i = parse_const_u2;
j = parse_const_u2
     => 0x6F, 0xB0 | (i << 2) | j"
CADR,INDEX2,#6FB4,tuple,6FB4,CADR,t - x,26,Recovers `x=(t_2)_1`.,"0x6F, 0xB4"
CDDR,INDEX2,#6FB5,tuple,6FB5,CDDR,t - x,26,Recovers `x=(t_2)_2`.,"0x6F, 0xB5"
INDEX3,,#6FE_ i:uint2 j:uint2 k:uint2,tuple,6FE_ijk,[i] [j] [k] INDEX3,t - x,26,"Recovers `x=t_{i+1}_{j+1}_{k+1}`.
`0 <= i,j,k <= 3`
Equivalent to `[i] [j] INDEX2` `[k] INDEX`.","i = parse_const_u2;
j = parse_const_u2;
k = parse_const_u2
      => 0x6F, 0xC0 | (i << 4) | (j << 2) | k"
CADDR,INDEX3,#6FD4,tuple,6FD4,CADDR,t - x,26,Recovers `x=t_2_2_1`.,"0x6F, 0xD4"
CDDDR,INDEX3,#6FD5,tuple,6FD5,CDDDR,t - x,26,Recovers `x=t_2_2_2`.,"0x6F, 0xD5"
PUSHINT_4,,#7 i:uint4,const_int,7i,"[x] PUSHINT
[x] INT",- x,18,"Pushes integer `x` into the stack. `-5 <= x <= 10`.
Here `i` equals four lower-order bits of `x` (`i=x mod 16`).",
ZERO,PUSHINT_4,#70,const_int,70,"ZERO
FALSE",- 0,18,Pushes a zero.,0x70
ONE,PUSHINT_4,#71,const_int,71,ONE,- 1,18,,0x71
TWO,PUSHINT_4,#72,const_int,72,TWO,- 2,18,,0x72
TEN,PUSHINT_4,#7A,const_int,7A,TEN,- 10,18,Pushes a ten.,0x7A
TRUE,PUSHINT_4,#7F,const_int,7F,TRUE,- -1,18,,0x7F
PUSHINT_8,,#80 xx:int8,const_int,80xx,"[xx] PUSHINT
[xx] INT",- xx,26,Pushes integer `xx`. `-128 <= xx <= 127`.,
PUSHINT_16,,#81 xxxx:int16,const_int,81xxxx,"[xxxx] PUSHINT
[xxxx] INT",- xxxx,34,Pushes integer `xxxx`. `-2^15 <= xx < 2^15`.,
,,#81FC18,const_int,81FC18,[1000] PUSHINT,- 1000,34,,
PUSHINT_LONG,,#82 l:(## 5) xxx:(int (8 * l + 19)),const_int,82lxxx,"[xxx] PUSHINT
[xxx] INT",- xxx,23,"Pushes integer `xxx`.
_Details:_ 5-bit `0 <= l <= 30` determines the length `n=8l+19` of signed big-endian integer `xxx`.
The total length of this instruction is `l+4` bytes or `n+13=8l+32` bits.",
PUSHPOW2,,#83 xx:uint8,const_int,83xx,[xx+1] PUSHPOW2,- 2^(xx+1),26,"(Quietly) pushes `2^(xx+1)` for `0 <= xx <= 255`.
`2^256` is a `NaN`.","s1 = parse_const_u8_plus_one
        => 0x83, s1"
PUSHNAN,PUSHPOW2,#83FF,const_int,83FF,PUSHNAN,- NaN,26,Pushes a `NaN`.,"0x83, 0xFF"
PUSHPOW2DEC,,#84 xx:uint8,const_int,84xx,[xx+1] PUSHPOW2DEC,- 2^(xx+1)-1,26,Pushes `2^(xx+1)-1` for `0 <= xx <= 255`.,"s1 = parse_const_u8_plus_one
        => 0x84, s1"
PUSHNEGPOW2,,#85 xx:uint8,const_int,85xx,[xx+1] PUSHNEGPOW2,- -2^(xx+1),26,Pushes `-2^(xx+1)` for `0 <= xx <= 255`.,"s1 = parse_const_u8_plus_one
        => 0x85, s1"
PUSHREF,,#88 c:^Cell,const_data,88,[ref] PUSHREF,- c,18,"Pushes the reference `ref` into the stack.
_Details:_ Pushes the first reference of `cc.code` into the stack as a _Cell_ (and removes this reference from the current continuation).",
PUSHREFSLICE,,#89 c:^Cell,const_data,89,[ref] PUSHREFSLICE,- s,118/43,"Similar to `PUSHREF`, but converts the cell into a _Slice_.",
PUSHREFCONT,,#8A c:^Cell,const_data,8A,[ref] PUSHREFCONT,- cont,118/43,"Similar to `PUSHREFSLICE`, but makes a simple ordinary _Continuation_ out of the cell.",
PUSHSLICE,,#8B x:(## 4) sss:((8 * x + 4) * Bit),const_data,8Bxsss,"[slice] PUSHSLICE
[slice] SLICE",- s,22,"Pushes the slice `slice` into the stack.
_Details:_ Pushes the (prefix) subslice of `cc.code` consisting of its first `8x+4` bits and no references (i.e., essentially a bitstring), where `0 <= x <= 15`.
A completion tag is assumed, meaning that all trailing zeroes and the last binary one (if present) are removed from this bitstring.
If the original bitstring consists only of zeroes, an empty slice will be pushed.",
,,#8B04,const_data,8B04,[x8] PUSHSLICE,- s,,Pushes an empty slice (bitstring ``).,
,,#8B08,const_data,8B08,[x4] PUSHSLICE,- s,,Pushes bitstring `0`.,
,,#8B0C,const_data,8B0C,[xC] PUSHSLICE,- s,,pushes bitstring `1`.,
PUSHSLICE_REFS,,#8C r:(## 2) xx:(## 5) c:((r + 1) * ^Cell) ssss:((8 * xx + 1) * Bit),const_data,8Crxxssss,"[slice] PUSHSLICE
[slice] SLICE",- s,25,"Pushes the slice `slice` into the stack.
_Details:_ Pushes the (prefix) subslice of `cc.code` consisting of its first `1 <= r+1 <= 4` references and up to first `8xx+1` bits of data, with `0 <= xx <= 31`.
A completion tag is also assumed.",
,,#8C01,const_data,8C01,[ref] PUSHREFSLICE,- s,118/43,Is equivalent to `PUSHREFSLICE`.,
PUSHSLICE_LONG,,#8D r:(#<= 4) xx:(## 7) c:(r * ^Cell) ssss:((8 * xx + 6) * Bit),const_data,8Drxxsssss,"[slice] PUSHSLICE
[slice] SLICE",- s,28,"Pushes the slice `slice` into the stack.
_Details:_ Pushes the subslice of `cc.code` consisting of `0 <= r <= 4` references and up to `8xx+6` bits of data, with `0 <= xx <= 127`.
A completion tag is assumed.",
,,,const_data,,"x{} PUSHSLICE
x{ABCD1234} PUSHSLICE
b{01101} PUSHSLICE",- s,,"Examples of `PUSHSLICE`.
`x{}` is an empty slice. `x{...}` is a hexadecimal literal. `b{...}` is a binary literal.
More on slice literals [here](https://github.com/Piterden/TON-docs/blob/master/Fift.%20A%20Brief%20Introduction.md#user-content-51-slice-literals).
Note that the assembler can replace `PUSHSLICE` with `PUSHREFSLICE` in certain situations (e.g. if there’s not enough space in the current continuation).",
